GZÜV-ID;Gemeindename;Quartal;G102;G107;G111;G113;G114;G116;G118;G119;G121;G122;G123;G130;G134;G135;G136;G137;G138;G139;G151;G152;G153;G154;G155;G156;G157;G159;G160;G161;G164;G165;G223;G226;G227;G228;G285;G366;G421;G422;G423;G424;G425;G426;G427;G428;G429;G433;
GZÜV-ID;Gemeindename;Quartal;ENTNAHME-DATUM;LUFTTEMPERATUR IN °C;GERUCH;FAERBUNG;TRUEBUNG;WASSERTEMPERATUR °C;PH-WERT;SAUERSTOFFGEHALT mg/l;REDOXPOTENTIAL mV;GESAMTHAERTE °dH;KARBONATHAERTE °dH;FREIE KOHLENSAEURE mg/l;CALCIUM mg/l;MAGNESIUM mg/l;NATRIUM mg/l;KALIUM mg/l;EISEN mg/l;MANGAN mg/l;BOR mg/l;AMMONIUM mg/l;NITRIT mg/l;NITRAT mg/l;CHLORID mg/l;SULFAT mg/l;HYDROGENK. mg/l;ORTHOPHOSPHAT mg/l;KIESELSAEURE mg/l;FLUORID mg/l;DOC mg/l;TOC mg/l;QUELLSCHÜTTUNG l/s;TRITIUM TE;DEUTERIUM d 0/00;SAUERSTOFF 18 d 0/00;RADON-222 Bq/l;ELEKTR. LEITF. (bei 20°C) µS/cm;CADMIUM µg/l;QUECKSILBER µg/l;ZINK µg/l;KUPFER µg/l;ALUMINIUM µg/l;BLEI µg/l;CHROM-GESAMT (filtriert) µg/l;NICKEL µg/l;ARSEN µg/l;URAN µg/l;
"KK71340012";"Erl";"Q3 2000 (A030)";"11.09.2000";"19";"geruchlos";"farblos ";"keine Trübung";"7.9";"7.59";"5.94";"";"16.8";"9.7";"";"89.6";"18.6";"1.32";"<2";"[0,002]";"[0,0008]";"<0,02";"[0,0024]";"[0,0003]";"3.36";"2.5";"119";"211.3";"<0,015";"";"";"0.51";"";"805";"";"";"";"";"494.62366";"[0,05]";"[0,01]";"[1,7]";"[0,05]";"<10";"[0,14]";"[0,28]";"<1";"[0,12]";"";
"KK71340012";"Erl";"Q4 2000 (A040)";"20.11.2000";"4";"geruchlos";"farblos ";"keine Trübung";"7.9";"7.77";"5.7";"";"15.7";"9.82";"";"83.4";"17.6";"1.22";"<2";"[0,0024]";"[0,001]";"<0,02";"<0,01";"[0,0018]";"3.11";"2.04";"123";"213.9";"<0,015";"";"";"0.62";"";"600";"";"";"";"";"498.20789";"[0,05]";"[0,01]";"<20";"[0,11]";"<10";"[0,15]";"[0,25]";"[0,21]";"[0,2]";"";
"KK71340012";"Erl";"Q1 2001 (A110)";"19.02.2001";"6";"geruchlos";"farblos ";"keine Trübung";"8";"7.69";"5.35";"";"18";"9.89";"";"96.3";"19.8";"1.42";"<2";"[0,0014]";"<0,02";"<0,02";"[0,0023]";"[0,0005]";"3.21";"2.02";"119";"215.5";"<0,015";"";"";"<0,5";"";"455";"";"";"";"";"497.31183";"[0,05]";"[0,01]";"[1,8]";"[0,24]";"<10";"[0,25]";"[0,16]";"[0,25]";"<1";"";
"KK71340012";"Erl";"Q2 2001 (A120)";"25.04.2001";"17";"geruchlos";"farblos ";"keine Trübung";"7.9";"7.76";"5.04";"";"17.1";"10.1";"";"91.8";"18.5";"1.33";"<2";"[0,001]";"[0,0006]";"<0,02";"<0,01";"[0,0004]";"3.37";"1.94";"123";"219.7";"<0,015";"";"";"0.6";"";"892";"";"";"";"";"507.16846";"[0,05]";"[0,01]";"[1,5]";"[0,26]";"<10";"[0,2]";"[0,19]";"[0,17]";"[0,22]";"";
"KK71340012";"Erl";"Q3 2001 (A130)";"06.08.2001";"20";"geruchlos";"farblos ";"keine Trübung";"8";"7.64";"5.57";"";"16.5";"9.79";"";"88.6";"17.9";"1.33";"<2";"[0,001]";"[0,0005]";"<0,02";"<0,01";"[0,001]";"3.18";"1.96";"122";"213";"<0,015";"";"";"0.59";"";"657";"";"";"";"";"492.83154";"[0,08]";"[0,01]";"[0,5]";"[0,33]";"<10";"[0,23]";"[0,33]";"[0,3]";"[0,28]";"";
"KK71340012";"Erl";"Q4 2001 (A140)";"22.10.2001";"14";"geruchlos";"farblos ";"keine Trübung";"7.9";"7.61";"4.81";"";"16.9";"9.78";"";"90.8";"18.4";"1.38";"<2";"[0,0006]";"[0,0004]";"<0,02";"[0,0032]";"[0,0006]";"3.04";"1.85";"130";"213";"<0,015";"";"";"";"";"657";"";"";"";"";"510.75269";"<0,2";"[0,01]";"[0,9]";"[0,27]";"[1]";"[0,22]";"[0,34]";"[0,25]";"2.23";"";
"KK71340012";"Erl";"Q1 2002 (A210)";"25.02.2002";"2";"geruchlos";"farblos ";"keine Trübung";"7";"7.5";"5.81";"";"17.2";"9.9";"";"92.1";"18.9";"1.35";"<2";"[0,0011]";"[0,0009]";"<0,02";"<0,01";"[0,001]";"3.15";"1.91";"123";"216";"<0,015";"";"";"[0,199]";"";"699";"";"";"";"";"501.79211";"[0,05]";"[0,02]";"[1,4]";"<1";"[0,8]";"[0,19]";"[0,12]";"<1";"[0,27]";"";
"KK71340012";"Erl";"Q2 2002 (A220)";"15.04.2002";"6";"geruchlos";"farblos ";"keine Trübung";"7.9";"7.63";"5.61";"";"18.4";"9.87";"";"98.4";"20.1";"1.45";"<2";"[0,001]";"[0,0006]";"<0,02";"<0,01";"[0,0016]";"3.24";"1.96";"126";"215";"<0,015";"";"";"<0,5";"";"805";"";"";"";"";"507.16846";"[0,04]";"[0,01]";"[0,8]";"[0,31]";"[1,1]";"[0,16]";"[0,14]";"[0,19]";"[0,32]";"";
"KK71340012";"Erl";"Q3 2002 (A230)";"29.07.2002";"21";"geruchlos";"farblos ";"keine Trübung";"7.9";"7.63";"5.9";"";"18";"9.86";"";"96.1";"19.8";"1.39";"<2";"[0,0008]";"[0,0006]";"<0,02";"[0,0011]";"[0,0012]";"3.22";"2.04";"121";"215";"<0,015";"";"";"<0,5";"";"684";"";"";"";"";"482.07885";"<0,2";"[0,01]";"[0,8]";"<1";"[0,7]";"[0,05]";"[0,2]";"[0,24]";"[0,33]";"";
"KK71340012";"Erl";"Q4 2002 (A240)";"25.11.2002";"7";"geruchlos";"farblos ";"keine Trübung";"8";"7.56";"5.58";"";"18.6";"10";"";"99.4";"20.2";"1.48";"<2";"[0,0005]";"[0,0003]";"<0,02";"[0,0009]";"[0,0005]";"3.23";"2.05";"119";"218";"<0,015";"";"";"[0,165]";"";"889";"";"";"";"";"495.51971";"[0,07]";"[0,01]";"[1,3]";"<1";"<10";"[0,15]";"[0,12]";"<1";"<1";"";
"KK71340012";"Erl";"Q1 2003 (A310)";"27.01.2003";"0";"geruchlos";"farblos ";"keine Trübung";"7.9";"7.67";"5.7";"";"17.9";"10";"";"96.3";"19.1";"1.3";"<2";"[0,0011]";"[0,0003]";"<0,02";"<0,01";"<0,01";"3.28";"2.04";"118";"219";"<0,015";"";"";"<0,5";"";"713";"";"";"";"";"491.03943";"[0,03]";"[0,01]";"[1,2]";"<1";"<10";"[0,22]";"[0,21]";"<1";"<1";"";
"KK71340012";"Erl";"Q2 2003 (A320)";"28.04.2003";"19";"geruchlos";"farblos ";"keine Trübung";"7.9";"7.62";"5.48";"";"16.9";"9.82";"";"90.6";"18.4";"1.37";"<2";"[0,002]";"[0,0004]";"<0,02";"<0,01";"[0,0015]";"2.98";"2";"124";"214";"<0,015";"";"";"<0,5";"";"823";"";"";"";"";"477.59857";"[0,04]";"[0,01]";"[1]";"<1";"[1,3]";"[0,17]";"[0,14]";"<1";"<1";"";
"KK71340012";"Erl";"Q3 2003 (A330)";"18.08.2003";"26";"geruchlos";"farblos ";"keine Trübung";"8";"7.38";"5.43";"";"17.1";"9.77";"";"90.6";"19";"1.41";"<2";"[0,0015]";"[0,0003]";"<0,02";"[0,0023]";"[0,0004]";"3.04";"2.1";"121";"213";"<0,015";"";"";"<0,5";"";"466";"";"";"";"";"486.55914";"<0,2";"<0,2";"<20";"<1";"[1,1]";"[0,16]";"[0,3]";"[0,28]";"[0,19]";"";
"KK71340012";"Erl";"Q4 2003 (A340)";"17.11.2003";"7";"geruchlos";"farblos ";"keine Trübung";"8";"7.64";"5.21";"";"17.1";"9.66";"";"91.2";"18.8";"1.37";"<2";"[0,0012]";"[0,0002]";"<0,02";"[0,0023]";"[0,0004]";"3.16";"2.18";"128";"211";"<0,015";"";"";"0.66";"";"600";"";"";"";"";"503.58423";"[0,03]";"[0,01]";"[1,3]";"<1";"[0,3]";"[0,27]";"[0,33]";"[0,36]";"<1";"";
"KK71340012";"Erl";"Q1 2004 (A410)";"18.02.2004";"3";"geruchlos";"farblos ";"keine Trübung";"7.9";"7.66";"5.06";"";"17";"9.95";"";"91.4";"18.4";"1.33";"<2";"[0,0009]";"[0,0003]";"<0,02";"<0,01";"[0,0007]";"3.55";"2.17";"126";"216.8";"<0,015";"";"";"[0,16]";"";"630";"";"";"";"";"496.41577";"[0,05]";"<0,2";"3.1";"<1";"[0,6]";"[0,14]";"[0,15]";"<1";"[0,26]";"";
"KK71340012";"Erl";"Q2 2004 (A420)";"13.04.2004";"9";"geruchlos";"farblos ";"keine Trübung";"8";"7.66";"5.07";"";"17.2";"9.92";"";"91.8";"19";"1.51";"<2";"<0,01";"[0,0006]";"<0,02";"<0,01";"[0,0005]";"3.68";"2.31";"127";"216.1";"<0,015";"";"";"[0,1]";"";"838";"";"";"";"";"508";"[0,04]";"<0,2";"4.7";"<1";"[1,7]";"[0,16]";"[0,15]";"<1";"[0,38]";"";
"KK71340012";"Erl";"Q3 2004 (A430)";"27.07.2004";"15";"geruchlos";"farblos ";"keine Trübung";"8";"7.67";"5.71";"";"16.5";"9.93";"";"88.8";"17.5";"1.4";"<2";"<0,01";"[0,0005]";"<0,02";"[0,0029]";"[0,0011]";"3.66";"2.59";"118";"216.4";"<0,015";"";"";"<0,5";"";"950";"";"";"";"";"509";"[0,05]";"[0,01]";"1.4";"<1";"[0,9]";"<1";"[0,26]";"<1";"<1";"";
"KK71340012";"Erl";"Q4 2004 (A440)";"22.11.2004";"2";"geruchlos";"farblos ";"keine Trübung";"8.2";"7.6";"5.23";"";"16.5";"9.88";"";"88.2";"18.2";"1.47";"<2";"[0,0007]";"[0,0004]";"0.0227";"[0,0037]";"[0,0007]";"3.45";"2.66";"117";"215.4";"<0,015";"";"";"<0,5";"";"774";"";"";"";"";"505";"<0,2";"[0,01]";"6.2";"<1";"<10";"<1";"[0,41]";"<1";"1.56";"";
"KK71340012";"Erl";"Q1 2005 (A510)";"12.01.2005";"-4";"geruchlos";"farblos ";"keine Trübung";"8";"7.58";"5.44";"";"15.8";"9.69";"";"84.2";"17.6";"1.42";"<2";"<0,01";"[0,0003]";"<0,02";"<0,01";"[0,0007]";"3.47";"2.68";"123";"210.8";"<0,015";"";"";"[0,18]";"";"650";"";"";"";"";"508";"[0,05]";"[0,01]";"2.6";"<1";"[0,8]";"<1";"[0,17]";"<1";"<1";"";
"KK71340012";"Erl";"Q2 2005 (A520)";"15.06.2005";"18";"geruchlos";"farblos ";"keine Trübung";"8.1";"7.59";"5.5";"";"17";"9.63";"";"91.7";"18.2";"1.5";"<2";"[0,0014]";"[0,0006]";"<0,02";"<0,01";"[0,0007]";"3.66";"2.96";"123";"209.6";"<0,015";"";"";"[0,17]";"";"810";"";"";"";"";"509";"[0,02]";"[0,02]";"1.5";"<1";"[1,3]";"<1";"[0,27]";"<1";"1.45";"";
"KK71340012";"Erl";"Q3 2005 (A530)";"26.07.2005";"20";"geruchlos";"farblos ";"keine Trübung";"8.1";"7.56";"6";"";"14.8";"9.71";"";"78.7";"16.4";"1.36";"<2";"[0,001]";"[0,0003]";"<0,02";"<0,01";"<0,01";"3.63";"2.95";"119";"211.3";"<0,015";"";"";"0.69";"";"805";"";"";"";"";"507";"[0,04]";"[0,01]";"1.5";"<1";"[0,7]";"[0,05]";"[0,18]";"[0,4]";"[0,3]";"";
"KK71340012";"Erl";"Q4 2005 (A540)";"22.11.2005";"-1";"geruchlos";"farblos ";"keine Trübung";"8";"7.48";"6.1";"";"16.4";"9.68";"";"87.6";"18";"1.55";"<2";"<0,01";"[0,0007]";"<0,02";"<0,01";"[0,0004]";"3.39";"3.1";"123";"210.6";"<0,015";"";"";"<0,5";"";"540";"";"";"";"";"504";"[0,04]";"[0,01]";"1.6";"[0,17]";"[0,7]";"[0,19]";"[0,13]";"[0,34]";"[0,33]";"";
"KK71340012";"Erl";"Q1 2006 (A610)";"07.02.2006";"-1";"geruchlos";"farblos ";"keine Trübung";"8";"7.56";"5.9";"";"16.8";"9.73";"";"90.2";"18.1";"1.57";"<2";"<0,01";"[0,0005]";"<0,02";"[0,0024]";"[0,0004]";"3.02";"2.64";"116";"211.7";"<0,015";"";"";"0.95";"";"473";"";"";"";"";"510";"[0,05]";"[0,01]";"2.2";"[0,16]";"[1,2]";"<1";"[0,28]";"<1";"[0,37]";"";
"KK71340012";"Erl";"Q2 2006 (A620)";"10.05.2006";"15";"geruchlos";"farblos ";"keine Trübung";"8.1";"7.58";"4.74";"";"16.3";"9.68";"";"87.3";"17.8";"1.54";"<2";"<0,01";"[0,0006]";"<0,02";"[0,0014]";"[0,0004]";"3.26";"2.87";"131";"210.6";"<0,015";"";"";"0.99";"";"880";"";"";"";"";"532";"[0,06]";"<0,2";"2.3";"<1";"[1,5]";"<1";"[0,39]";"<1";"<1";"";
"KK71340012";"Erl";"Q3 2006 (A630)";"22.08.2006";"17";"geruchlos";"farblos ";"keine Trübung";"8.1";"7.5";"5.2";"";"16.1";"9.65";"";"85.6";"17.7";"1.5";"<2";"<0,01";"[0,0003]";"<0,02";"[0,0032]";"<0,01";"3.47";"3.1";"122";"210.1";"<0,015";"";"";"<0,5";"";"810";"";"";"";"";"510";"[0,02]";"<0,2";"1.3";"<1";"[1,4]";"<1";"1.53";"<1";"[0,32]";"";
"KK71340012";"Erl";"Q4 2006 (A640)";"06.11.2006";"3";"geruchlos";"farblos ";"keine Trübung";"8";"7.51";"5.3";"";"16";"9.62";"";"85.5";"17.6";"1.53";"<2";"<0,01";"[0,0004]";"<0,02";"0.0103";"[0,0039]";"3.45";"3.11";"125";"209.3";"<0,015";"";"";"<0,5";"";"654";"";"";"";"";"512";"[0,07]";"[0,05]";"2.3";"<1";"[1,2]";"<1";"[0,27]";"<1";"[0,29]";"";
"KK71340012";"Erl";"Q1 2007 (A710)";"21.02.2007";"0";"geruchlos";"farblos ";"keine Trübung";"8";"7.52";"5.1";"";"16.7";"9.66";"";"89.2";"18.4";"1.64";"<2";"0.048";"<0,02";"<0,02";"<0,01";"[0,0014]";"3.39";"3.07";"127";"210";"<0,015";"";"";"1.01";"";"654";"";"";"";"";"514";"";"";"";"";"";"";"";"";"";"";
"KK71340012";"Erl";"Q2 2007 (A720)";"25.04.2007";"22";"geruchlos";"farblos ";"keine Trübung";"8.1";"7.63";"4.8";"";"18";"9.58";"";"96.6";"19.5";"1.82";"<2";"<0,02";"[0,0011]";"<0,02";"<0,01";"[0,0038]";"3.51";"2.97";"129";"209";"<0,009";"";"";"<0,5";"";"665";"";"";"";"";"522";"[0,06]";"[0,01]";"<10";"<1";"[0,9]";"<1";"[0,18]";"<1";"[0,38]";"";
"KK71340012";"Erl";"Q3 2007 (A730)";"27.08.2007";"17";"geruchlos";"farblos ";"keine Trübung";"8.1";"7.53";"4.7";"";"16.8";"9.76";"";"89.8";"18.3";"1.62";"<2";"<0,02";"[0,0007]";"<0,02";"<0,01";"[0,0011]";"3.15";"2.77";"121";"212";"<0,015";"";"";"<0,5";"";"684";"";"";"";"";"507";"";"";"";"";"";"";"";"";"";"";
"KK71340012";"Erl";"Q4 2007 (A740)";"20.11.2007";"3";"geruchlos";"farblos ";"keine Trübung";"8.1";"7.54";"5.1";"";"16";"9.82";"";"85";"17.7";"1.63";"<2";"<0,02";"[0,0005]";"<0,02";"<0,01";"<0,01";"3.56";"2.68";"119";"214";"<0,015";"";"";"<0,5";"";"810";"";"";"";"";"510";"[0,02]";"[0,04]";"<20";"<1";"[0,8]";"[0,25]";"[0,25]";"<1";"[0,34]";"";
"KK71340012";"Erl";"Q2 2008 (A820)";"14.04.2008";"11";"geruchlos";"farblos ";"keine Trübung";"8.1";"7.52";"5";"";"17";"9.67";"";"90.7";"18.5";"1.74";"<2";"<0,02";"[0,0011]";"0.023";"[0,0024]";"[0,0004]";"3.42";"2.47";"123";"210";"<0,015";"";"";"0.55";"";"916";"";"";"";"";"509";"[0,08]";"[0,01]";"<20";"<1";"[0,6]";"<1";"[0,29]";"[0,13]";"2.12";"";
"KK71340012";"Erl";"Q4 2008 (A840)";"14.10.2008";"18";"geruchlos";"farblos ";"keine Trübung";"8.1";"7.64";"5.5";"";"16.3";"9.62";"";"87.3";"17.7";"1.65";"<2";"<0,02";"[0,0004]";"<0,02";"<0,01";"<0,01";"3.26";"2.93";"123";"209";"<0,015";"";"";"0.51";"";"724";"";"";"";"";"511";"";"";"";"";"";"";"";"";"";"";
"KK71340012";"Erl";"Q2 2009 (A920)";"14.04.2009";"22";"geruchlos";"farblos ";"keine Trübung";"8.2";"7.76";"4.99";"";"17.1";"9.67";"";"91.1";"18.7";"1.64";"<2";"<0,02";"[0,0006]";"<0,02";"<0,01";"[0,0012]";"3.3";"2.64";"127";"211";"<0,015";"";"";"0.58";"";"1010";"";"";"";"";"518";"[0,04]";"[0,02]";"<20";"<1";"[0,8]";"<1";"[0,24]";"<1";"1.81";"";
"KK71340012";"Erl";"Q4 2009 (A940)";"21.10.2009";"10";"geruchlos";"farblos ";"keine Trübung";"8.1";"7.48";"5.9";"";"17.5";"9.79";"";"93.5";"19.1";"1.69";"<2";"[0,0016]";"[0,001]";"<0,02";"<0,01";"<0,01";"3.42";"2.89";"116";"213";"<0,015";"";"";"<0,5";"";"760";"";"";"";"";"506";"";"";"";"";"";"";"";"";"";"";
"KK71340012";"Erl";"Q2 2010 (B020)";"20.04.2010";"15";"geruchlos";"farblos ";"keine Trübung";"8.1";"7.66";"5.05";"";"16.5";"9.67";"";"88.3";"18.1";"1.67";"<2";"[0,00187]";"[0,00036]";"<0,02";"0.007";"<0,006";"3.24";"2.69";"130";"211";"<0,009";"";"";"<0,5";"";"795";"";"";"";"";"519";"[0,08]";"<0,2";"<20";"[0,23]";"[0,84]";"[0,33]";"[0,35]";"[0,35]";"<1";"";
"KK71340012";"Erl";"Q4 2010 (B040)";"12.10.2010";"12";"geruchlos";"farblos ";"keine Trübung";"8.1";"7.69";"5.34";"";"n.a.";"9.84";"";"n.a.";"n.a.";"n.a.";"n.a.";"n.a.";"n.a.";"n.a.";"<0,006";"<0,006";"3.48";"2.71";"122";"214";"<0,009";"";"";"<0,5";"";"795";"";"";"";"";"509";"";"";"";"";"";"";"";"";"";"";
"KK71340012";"Erl";"Q2 2011 (B120)";"13.04.2011";"10";"geruchlos";"farblos ";"keine Trübung";"8.1";"7.78";"4.94";"";"18";"9.81";"";"96.3";"19.4";"1.71";"<2";"<0,02";"[0,0005]";"<0,02";"0.007";"<0,006";"3.42";"2.85";"130";"214";"<0,009";"";"";"<0,5";"";"750";"";"";"";"";"519";"<0,2";"0.45";"[1,8]";"[0,15]";"[2,1]";"<1";"<1";"[0,24]";"<1";"";
"KK71340012";"Erl";"Q4 2011 (B140)";"12.12.2011";"3";"geruchlos";"farblos ";"keine Trübung";"8.1";"7.63";"5.01";"";"16.9";"9.98";"";"90.2";"18.7";"1.72";"<2";"<0,02";"[0,0006]";"<0,02";"0.006";"<0,006";"3.48";"2.62";"122";"217";"<0,009";"";"";"<0,5";"";"530";"";"";"";"";"514";"";"";"";"";"";"";"";"";"";"";
"KK71340012";"Erl";"Q2 2012 (B220)";"11.04.2012";"11";"geruchlos";"farblos ";"keine Trübung";"8.1";"7.73";"4.94";"";"17.5";"9.9";"";"90.6";"21";"1.69";"<2";"<0,02";"[0,0003]";"<0,02";"0.008";"<0,006";"3.44";"2.79";"125";"215";"<0,009";"";"";"<0,5";"";"930";"";"";"";"";"523";"<0,2";"<0,2";"<20";"<1";"[1,2]";"<1";"<1";"[0,09]";"<1";"";
"KK71340012";"Erl";"Q4 2012 (B240)";"16.10.2012";"6";"geruchlos";"farblos ";"keine Trübung";"8.2";"7.47";"5.64";"";"17.3";"9.9";"";"91.7";"19.3";"1.84";"<2";"<0,02";"<0,02";"<0,02";"0.007";"<0,006";"3.37";"3.05";"122";"215";"<0,009";"";"";"0.51";"";"745";"";"";"";"";"507";"";"";"";"";"";"";"";"";"";"";
"KK71340012";"Erl";"Q2 2013 (B320)";"16.04.2013";"18";"geruchlos";"farblos";"keine Trübung";"8.2";"7.76";"5.15";"";"18.46941";"9.87008";"";"97.62175";"20.85879";"1.80218";"<2";"<0,02";"[0,00041]";"<0,02";"0.00606";"<0,006";"3.33998";"2.79064";"123.108";"214.77984";"0.00951";"";"";"0.53293";"";"880";"";"";"";"";"518";"<0,2";"[0,0140831]";"<5";"<1";"[1,16644]";"[0,11456]";"[0,13775]";"<1";"<1";"2.76282";
"KK71340012";"Erl";"Q3 2013 (B330)";"15.07.2013";"25";"geruchlos";"farblos";"keine Trübung";"8.1";"7.75";"5.49";"";"17.11236";"9.814";"";"91.55617";"18.65477";"1.6833";"<2";"<0,02";"[0,00168]";"<0,02";"<0,006";"<0,006";"3.2538";"2.88719";"116.2943";"213.5595";"0.00987";"";"";"<0,5";"";"916";"";"";"";"";"508";"<0,2";"[0,0604745]";"<5";"<1";"[1,74207]";"[0,08266]";"2.73976";"[0,1217]";"<1";"2.64153";
"KK71340012";"Erl";"Q4 2013 (B340)";"11.11.2013";"5";"geruchlos";"farblos";"keine Trübung";"8.1";"7.68";"5.74";"";"16.51099";"9.89812";"";"88.68713";"17.78786";"1.74954";"<2";"[0,00136]";"[0,00279]";"<0,02";"[0,00224]";"[0,00075]";"3.29839";"2.77691";"118.24038";"215.39001";"<0,009";"";"";"<0,5";"";"743";"";"";"";"";"507";"<0,2";"[0,029575]";"<5";"[0,21198]";"[2,2274]";"[0,18313]";"<1";"[0,19772]";"<1";"2.8075";
"KK71340012";"Erl";"Q2 2014 (B420)";"16.04.2014";"5";"geruchlos";"farblos";"keine Trübung";"8.1";"7.6";"5.4";"";"17.55498";"9.75792";"";"95.93311";"17.91912";"1.84601";"<2";"[0,00097]";"[0,00059]";"<0,02";"<0,01";"[0,00135]";"3.09908";"2.72215";"121.64457";"212.33916";"<0,015";"";"";"<0,5";"";"660";"";"";"";"";"514";"<0,2";"<0,2";"[0,379112]";"<1";"[1,5379]";"[0,13342]";"<1";"<1";"<1";"2.95583";
"KK71340012";"Erl";"Q4 2014 (B440)";"17.11.2014";"8";"geruchlos";"farblos";"keine Trübung";"8.2";"7.67";"5.38";"";"16.54894";"9.89812";"";"87.94841";"18.40035";"1.69776";"<2";"[0,00123]";"[0,00141]";"<0,02";"<0,01";"[0,00124]";"3.14663";"2.58353";"116.7005";"215.39001";"<0,015";"";"";"0.57985";"";"712";"";"";"";"";"507";"";"";"";"";"";"";"";"";"";"";
"KK71340012";"Erl";"Q2 2015 (B520)";"14.04.2015";"16";"geruchlos";"farblos";"keine Trübung";"8.1";"7.7";"5.32";"";"17.03726";"9.98224";"";"90.29051";"19.09675";"1.80404";"<2";"[0,00172]";"[0,0009]";"<0,02";"[0,00221]";"<0,01";"2.78632";"2.36452";"117.10373";"217.22052";"<0,015";"";"";"0.59949";"";"774";"";"";"";"";"513";"<0,2";"<0,2";"<5";"[0,15979]";"[1,77818]";"[0,1529]";"[0,12394]";"<1";"<1";"2.58497";
"KK71340012";"Erl";"Q4 2015 (B540)";"28.10.2015";"12";"geruchlos";"farblos";"keine Trübung";"8.2";"7.73";"5.25";"";"16.51346";"9.87008";"";"88.60995";"17.84539";"1.71638";"<2";"[0,00208]";"[0,0012]";"<0,02";"<0,01";"<0,01";"3.28525";"2.70783";"121.70751";"214.77984";"<0,015";"";"";"0.65325";"";"542";"";"";"";"";"513";"";"";"";"";"";"";"";"";"";"";
"KK71340012";"Erl";"Q2 2016 (B620)";"25.04.2016";"4";"geruchlos";"farblos";"keine Trübung";"8.2";"7.72";"5.1";"";"16.7111";"9.9542";"";"90.2411";"17.71291";"1.59914";"<2";"<0,02";"[0,00121]";"<0,02";"[0,00202]";"<0,01";"3.33559";"2.5917";"125.67504";"216.61035";"<0,015";"";"";"0.55198";"";"803";"";"";"";"";"521";"<0,2";"<0,2";"<5";"<1";"[0,76946]";"[0,08649]";"<1";"<1";"<1";"3.13306";
"KK71340012";"Erl";"Q2 2017 (B720)";"12.04.2017";"13";"geruchlos";"farblos";"keine Trübung";"8.1";"7.63";"4.78";"";"17.081";"9.98224";"";"91.7138";"18.42324";"1.67742";"<2";"[0,00106]";"[0,00096]";"<0,02";"[0,00178]";"[0,00181]";"2.99577";"2.53635";"126.72886";"217.22052";"<0,015";"";"";"<0,5";"";"653";"";"";"";"";"527";"<0,2";"<0,2";"<5";"[0,14608]";"[1,34012]";"[0,13679]";"<1";"<1";"<1";"2.86922";
"KK71340012";"Erl";"Q2 2018 (B820)";"04.04.2018";"14";"geruchlos";"farblos";"keine Trübung";"8.1";"7.63";"5.18";"";"17.14738";"10.15048";"";"92.22031";"18.40382";"1.81338";"<2";"[0,00049]";"[0,00102]";"<0,02";"<0,01";"<0,01";"3.15321";"2.61267";"119.82539";"220.88154";"<0,015";"";"";"0.51282";"";"806";"";"";"";"";"518";"<0,2";"<0,2";"<5";"<1";"<10";"<1";"<1";"<1";"<1";"3.09483";
"KK71340012";"Erl";"Q2 2019 (B920)";"03.04.2019";"10";"geruchlos";"farblos";"keine Trübung";"8.2";"7.71";"4.82";"";"17.31226";"10.06636";"";"93.20437";"18.52177";"1.71261";"<2";"[0,00114]";"[0,00072]";"<0,02";"<0,01";"[0,00098]";"3.20517";"2.87333";"128.53493";"219.05103";"<0,015";"";"";"<0,5";"";"929";"";"";"";"";"534";"<0,2";"<0,1";"<5";"[0,13245]";"[0,73939]";"[0,21991]";"<1";"<1";"<1";"2.77153";
"KK71340012";"Erl";"Q3 2019 (B930)";"10.07.2019";"17";"geruchlos";"farblos";"keine Trübung";"8.2";"7.69";"5.4";"";"17.02885";"9.89812";"";"91.90131";"18.08349";"1.84386";"<2";"[0,00151]";"[0,00129]";"<0,02";"<0,01";"[0,00136]";"3.12787";"3.14058";"119.18039";"215.39001";"<0,015";"";"";"<0,5";"";"746";"";"";"";"";"503";"<0,2";"<0,1";"<5";"<1";"[1,33184]";"[0,18063]";"<1";"<1";"<1";"2.61188";
"KK71340012";"Erl";"Q4 2019 (B940)";"13.11.2019";"2";"geruchlos";"farblos";"keine Trübung";"8.2";"7.66";"5.33";"";"16.52448";"9.98224";"";"89.99087";"17.05575";"1.77949";"<2";"[0,00084]";"[0,00049]";"<0,02";"[0,00229]";"<0,01";"2.99232";"3.13894";"126.36292";"217.22052";"<0,015";"";"";"<0,5";"";"634";"";"";"";"";"510";"<0,2";"[0,00375]";"[0,76754]";"[0,17981]";"[1,64378]";"[0,11024]";"<1";"<1";"<1";"2.81513";
"KK71340012";"Erl";"Q2 2020 (C020)";"13.05.2020";"8";"geruchlos";"farblos";"keine Trübung";"8.2";"7.7";"4.92";"";"17.94931";"9.9542";"";"96.06582";"18.75867";"1.75663";"<2";"[0,00192]";"[0,00214]";"<0,02";"[0,00249]";"[0,00261]";"2.90091";"2.92396";"126.62951";"216.61035";"<0,015";"";"";"<0,5";"";"526";"";"";"";"";"522";"<0,2";"[0,0022]";"<5";"<1";"[1,75744]";"[0,15751]";"<1";"<1";"<1";"2.80063";
